# S1,S2,S3,S4,Weight
6.300000000000000000e+01,9.100000000000000000e+01,1.050000000000000000e+02,1.060000000000000000e+02,-2.826153962601189451e-01
5.000000000000000000e+01,9.100000000000000000e+01,9.200000000000000000e+01,1.060000000000000000e+02,7.598661638009694685e-02
5.000000000000000000e+01,6.300000000000000000e+01,9.100000000000000000e+01,1.060000000000000000e+02,-1.507248124871639339e-01
5.000000000000000000e+01,9.200000000000000000e+01,9.300000000000000000e+01,1.060000000000000000e+02,4.498786922506992081e-01
6.500000000000000000e+01,9.300000000000000000e+01,1.060000000000000000e+02,1.070000000000000000e+02,7.711290328295566932e-01
5.000000000000000000e+01,5.100000000000000000e+01,6.500000000000000000e+01,9.300000000000000000e+01,7.108530811750145562e-01
5.000000000000000000e+01,6.400000000000000000e+01,6.500000000000000000e+01,1.060000000000000000e+02,4.068956891834142886e-01
5.000000000000000000e+01,6.500000000000000000e+01,9.300000000000000000e+01,1.060000000000000000e+02,5.919380320070289914e-01
5.100000000000000000e+01,5.200000000000000000e+01,6.500000000000000000e+01,9.300000000000000000e+01,9.271578397460426002e-01
5.200000000000000000e+01,6.500000000000000000e+01,6.600000000000000000e+01,1.080000000000000000e+02,9.994648785122298706e-01
6.500000000000000000e+01,9.300000000000000000e+01,1.070000000000000000e+02,1.080000000000000000e+02,9.556754326535010780e-01
5.200000000000000000e+01,9.300000000000000000e+01,9.400000000000000000e+01,1.080000000000000000e+02,9.973230385007542109e-01
5.200000000000000000e+01,6.500000000000000000e+01,9.300000000000000000e+01,1.080000000000000000e+02,9.888549774364409073e-01
5.200000000000000000e+01,9.400000000000000000e+01,9.500000000000000000e+01,1.080000000000000000e+02,8.928887184572587010e-01
6.700000000000000000e+01,9.500000000000000000e+01,1.080000000000000000e+02,1.090000000000000000e+02,6.372585864172797265e-01
5.200000000000000000e+01,5.300000000000000000e+01,6.700000000000000000e+01,9.500000000000000000e+01,6.921934864921442943e-01
5.200000000000000000e+01,6.600000000000000000e+01,6.700000000000000000e+01,1.080000000000000000e+02,9.095775415271070141e-01
5.200000000000000000e+01,6.700000000000000000e+01,9.500000000000000000e+01,1.080000000000000000e+02,8.016640158873165056e-01
5.300000000000000000e+01,5.400000000000000000e+01,6.700000000000000000e+01,9.500000000000000000e+01,3.589889984860012984e-01
5.400000000000000000e+01,6.700000000000000000e+01,6.800000000000000000e+01,1.100000000000000000e+02,-4.726860827076186100e-02
6.700000000000000000e+01,9.500000000000000000e+01,1.090000000000000000e+02,1.100000000000000000e+02,2.924606609678733204e-01
5.400000000000000000e+01,9.500000000000000000e+01,9.600000000000000000e+01,1.100000000000000000e+02,-8.092117346467903038e-02
5.400000000000000000e+01,6.700000000000000000e+01,9.500000000000000000e+01,1.100000000000000000e+02,1.377887762851122966e-01
5.400000000000000000e+01,9.600000000000000000e+01,9.700000000000000000e+01,1.100000000000000000e+02,-4.588825244033547524e-01
6.900000000000000000e+01,9.700000000000000000e+01,1.100000000000000000e+02,1.110000000000000000e+02,-7.760135588087891945e-01
5.400000000000000000e+01,5.500000000000000000e+01,6.900000000000000000e+01,9.700000000000000000e+01,-7.352772552454422961e-01
5.400000000000000000e+01,6.800000000000000000e+01,6.900000000000000000e+01,1.100000000000000000e+02,-4.298854234667259244e-01
5.400000000000000000e+01,6.900000000000000000e+01,9.700000000000000000e+01,1.100000000000000000e+02,-6.090835630961504155e-01
5.600000000000000000e+01,5.700000000000000000e+01,7.000000000000000000e+01,9.800000000000000000e+01,9.898625330819047496e-01
5.700000000000000000e+01,7.000000000000000000e+01,7.100000000000000000e+01,1.130000000000000000e+02,9.685923677734660231e-01
7.000000000000000000e+01,9.800000000000000000e+01,1.120000000000000000e+02,1.130000000000000000e+02,9.134235880824577158e-01
5.700000000000000000e+01,9.800000000000000000e+01,9.900000000000000000e+01,1.130000000000000000e+02,9.685923677734660231e-01
5.700000000000000000e+01,7.000000000000000000e+01,9.800000000000000000e+01,1.130000000000000000e+02,9.851135115328454317e-01
5.700000000000000000e+01,9.900000000000000000e+01,1.000000000000000000e+02,1.130000000000000000e+02,9.134235880824576048e-01
7.200000000000000000e+01,1.000000000000000000e+02,1.130000000000000000e+02,1.140000000000000000e+02,6.569163549247178935e-01
5.700000000000000000e+01,5.800000000000000000e+01,7.200000000000000000e+01,1.000000000000000000e+02,9.134235880824576048e-01
5.700000000000000000e+01,7.100000000000000000e+01,7.200000000000000000e+01,1.130000000000000000e+02,9.134235880824576048e-01
5.700000000000000000e+01,7.200000000000000000e+01,1.000000000000000000e+02,1.130000000000000000e+02,8.738821951802462351e-01
5.800000000000000000e+01,5.900000000000000000e+01,7.200000000000000000e+01,1.000000000000000000e+02,7.529201327909672559e-01
5.900000000000000000e+01,7.200000000000000000e+01,7.300000000000000000e+01,1.150000000000000000e+02,3.417182911900585318e-01
7.200000000000000000e+01,1.000000000000000000e+02,1.140000000000000000e+02,1.150000000000000000e+02,4.491153976661860225e-01
5.900000000000000000e+01,1.000000000000000000e+02,1.010000000000000000e+02,1.150000000000000000e+02,3.417182911900585318e-01
5.900000000000000000e+01,7.200000000000000000e+01,1.000000000000000000e+02,1.150000000000000000e+02,4.956796809138863114e-01
5.900000000000000000e+01,1.010000000000000000e+02,1.020000000000000000e+02,1.150000000000000000e+02,2.389892436824712918e-02
